   St.     E_TM         N_TM       Y_GK     X_GK
  390   425140.498    96079.983   424769    96567
  391   429688.496    91029.063   429317    91516
  392   434235.562    85979.254   433864    86466
  393   438783.603    80928.397   438412    81415
  394   443330.586    75878.655   442959    76365
  395   447878.634    70827.826   447507    71314
  396   452425.704    65777.914   452054    66264
  397   456973.805    60727.065   456602    61213
  398   461520.794    55677.108   461149    56163
  399   466068.760    50626.114   465697    51112
  400   459420.819    49213.142   459049    49699
  401   454873.785    54264.058   454502    54750
  402   450325.746    59313.958   449954    59800
  403   445778.692    64364.871   445407    64851
  404   441230.691    69414.701   440859    69901
  405   436683.715    74465.523   436312    74952
  406   432135.754    79515.380   431764    80002
  407   427588.804    84566.285   427217    85053
  408   423040.608    89616.087   422669    90103
  409   418492.762    94666.915   418121    95154
  410   413945.771    99717.673   413574   100205
  411   409397.671   104767.548   409026   105255
  412   404850.553   109818.477   404479   110306
  413   400302.584   114868.098   399931   115356
  414   395755.575   119918.864   395384   120407
  415   391207.600   124968.657   390836   125457
  416   386660.541   130019.580   386289   130508
  417   384560.690   123555.627   384189   124044
  418   389107.727   118505.731   388736   118994
  419   393655.720   113454.973   393284   113943
  420   398202.670   108405.276   397831   108893
  421   402750.735   103354.548   402379   103842
  422   407297.872    98304.718   406926    98792
  423   411845.953    93253.937   411474    93741
  424   416392.920    88203.115   416021    88690
  425   420940.942    83153.257   420569    83640
  426   425487.938    78102.409   425116    78589
  427   430035.942    73052.524   429664    73539
  428   434582.839    68001.623   434211    68488
  429   439130.867    62951.808   438759    63438
  430   443678.863    57900.862   443307    58387
  431   448225.858    52850.885   447854    53337
  432   452773.849    47800.105   452402    48286
  433   446126.031    46387.054   445754    46873
  434   441577.964    51437.832   441206    51924
  435   437030.986    56487.794   436659    56974
  436   432483.084    61538.693   432111    62025
  437   427936.168    66588.579   427564    67075
  438   423388.143    71639.561   423016    72126
  439   418841.081    76689.335   418469    77176
  440   414293.090    81740.130   413921    82227
  441   409746.085    86789.959   409374    87277
  442   405198.053    91840.856   404826    92328
  443   400650.889    96890.629   400279    97378
  444   396102.844   101941.476   395731   102429
  445   391555.902   106992.131   391184   107480
  446   389455.057   100528.471   389083   101016
  447   394003.030    95477.571   393631    95965
  448   398550.042    90427.622   398178    90915
  449   403098.182    85376.801   402726    85864
  450   407646.236    80326.971   407274    80814
  451   412193.177    75276.189   411821    75763
  452   416741.196    70226.398   416369    70713
  453   421288.234    65175.526   420916    65662
  454   425836.268    60125.652   425464    60612
  455   430383.178    55074.723   430011    55561
  456   434931.113    50024.781   434559    50511
  457   439478.142    44973.888   439106    45460
  458   432831.315    43560.795   432459    44047
  459   428283.316    48611.726   427911    49098
  460   423736.336    53661.603   423364    54148
  461   419188.308    58712.527   418816    59199
  462   414640.325    63762.409   414268    64249
  463   410093.318    68813.245   409721    69300
  464   405545.389    73863.074   405173    74350
  465   400998.386    78913.857   400626    79401
  466   396450.371    83963.830   396078    84451
  467   412540.396    57299.452   412168    57786
  468   417088.412    52248.573   416716    52735
  469   421635.432    47198.658   421263    47685
  470   426183.440    42147.731   425811    42634
  471   419535.532    40734.668   419163    41221
  472   414988.530    45785.560   414616    46272
  473   410440.484    50835.445   410068    51322
  474   408340.643    44372.422   407968    44859
  475   412888.604    39321.523   412516    39808
  476   406240.710    37908.507   405868    38395
  477   401692.720    42959.384   401320    43446
  478   395045.836    41546.299   394673    42033
  479   399592.869    36495.370   399220    36982
   A1   599034.135   193219.395   598667   193702
   A2   603581.300   188168.694   603214   188651
   A3   601481.667   181704.595   601114   182187
   A4   606029.993   176654.711   605662   177137
   A5   610577.295   171603.830   610209   172086
   A6   608477.434   165140.665   608109   165623
   A7   613025.668   160089.699   612657   160572
   A8   617572.892   155039.784   617204   155522
   A9   622121.094   149988.819   621752   150471
  A10   615473.008   148575.611   615104   149058
  A11   608824.955   147162.481   608456   147645
  A12   602177.941   145749.444   601809   146232
  A13   600078.298   139286.290   599709   139769
  A14   593430.257   137872.948   593061   138356
  A15   586782.204   136459.691   586413   136943
  A16   580135.148   135046.397   579766   135530
  A17   578034.214   128582.197   577665   129066
  A18   571387.178   127169.052   571018   127653
  A19   564739.272   125755.940   564370   126240
  A20   562639.657   119293.046   562270   119777
  A21   555991.833   117879.754   555622   118364
  A22   553891.968   111415.665   553522   111900
  A23   551792.210   104951.584   551422   105436
  A24   556340.234    99901.690   555970   100386
  A25   554239.456    93437.781   553869    93922
  A26   552139.624    86974.693   551769    87459
  A27   556687.774    81923.800   556317    82408
  A28   554587.926    75460.707   554217    75945
  A29   547939.935    74047.486   547569    74532
  A30   541291.916    72634.362   540921    73119
  A31   534644.985    71221.204   534274    71706
  A32   532545.232    64757.229   532174    65242
  A33   530444.511    58294.071   530073    58779
  A34   528344.482    51830.020   527973    52315
  A35   526244.630    45366.059   525873    45851
  A36   530792.682    40316.059   530421    40801
  A37   528692.702    33852.044   528321    34337
  A38   522044.681    32439.034   521673    32924
  A39   515396.725    31026.062   515025    31511
  A40   510849.767    36076.952   510478    36562
  A41   504201.953    34663.874   503830    35149
  A42   499653.979    39713.641   499282    40199
  A43   493007.125    38300.570   492635    38786
  A44   486359.222    36887.571   485987    37373
  A45   481812.276    41938.461   481440    42424
  A46   477264.038    46989.246   476892    47475
  A47   470615.986    45576.040   470244    46062
  A48   463968.955    44163.307   463597    44649
  A49   457321.020    42750.175   456949    43236
  A50   450673.075    41337.075   450301    41823
  A51   444026.231    39923.946   443654    40410
  A52   437378.326    38510.862   437006    38997
  A53   430730.403    37097.840   430358    37584
  A54   424083.529    35683.757   423711    36170
  A55   417435.612    34270.641   417063    34757
  A56   410787.706    32857.548   410415    33344
  A57   404140.821    31444.531   403768    31931
  A58   397492.957    30031.431   397120    30518
  A59   392945.921    35082.308   392573    35569
  A60   388397.916    40133.230   388025    40620
  A61   390497.849    46596.171   390125    47083
