   St.   E_TM     N_TM       Y_GK         X_GK
  314   469550    82017   469921.328    81530.986
  315   474097    76966   474468.419    76480.202
  316   478645    71916   479016.606    71430.322
  317   483192    66865   483563.680    66379.470
  318   487740    61815   488111.603    61329.318
  319   492288    56764   492659.801    56278.211
  320   496835    51714   497206.785    51228.419
  321   501383    46663   501754.861    46177.557
  322   505930    41612   506301.808    41126.767
  323   494735    45250   495106.924    44764.590
  324   490187    50301   490558.971    49815.366
  325   485640    55351   486011.941    54865.240
  326   481092    60402   481463.852    59916.362
  327   476545    65452   476916.750    64966.262
  328   471997    70503   472368.634    70017.170
  329   467450    75553   467821.445    75067.045
  330   462902    80604   463273.368    80117.851
  331   458355    85654   458726.294    85167.670
  332   453807    90705   454178.193    90218.548
  333   449260    95755   449631.126    95268.385
  334   444712   100806   445083.084   100319.249
  335   440165   105857   440536.083   105370.080
  336   435617   110907   435988.010   110419.899
  337   431070   115958   431440.912   115470.787
  338   426522   121008   426893.002   120520.453
  339   421974   126059   422345.066   125571.331
  340   417427   131109   417798.110   130621.063
  341   412879   136160   413250.129   135671.974
  342   408332   141210   408703.145   140721.862
  343   403784   146261   404155.154   145772.704
  344   401684   139797   402055.309   139308.796
  345   406232   134747   406603.304   134258.931
  346   410779   129696   411150.326   129208.000
  347   415327   124646   415698.286   124158.203
  348   419874   119595   420245.170   119107.373
  349   424422   114545   424793.162   114057.603
  350   428969   109494   429340.157   109006.864
  351   433517   104444   433888.234   103957.026
  352   438064    99393   438435.279    98906.155
  353   442612    94342   442983.281    93855.307
  354   447160    89292   447531.332    88805.415
  355   451707    84241   452078.382    83754.584
  356   456255    79191   456626.474    78704.778
  357   460802    74140   461173.488    73653.980
  358   465350    69090   465721.570    68604.085
  359   469897    64039   470268.719    63553.086
  360   474445    58989   474816.878    58503.212
  361   478992    53938   479364.028    53452.299
  362   483540    48888   483912.089    48402.379
  363   488087    43837   488459.113    43351.501
  364   472345    52525   472716.990    52039.229
  365   467797    57576   468168.668    57090.204
  366   463249    62626   463620.643    62140.168
  367   458702    67677   459073.659    67191.054
  368   454154    72727   454525.580    72240.945
  369   449607    77778   449978.585    77291.827
  370   445059    82828   445430.469    82341.515
  371   440512    87879   440883.504    87392.275
  372   435964    92929   436335.399    92442.252
  373   431417    97980   431788.365    97493.095
  374   426869   103031   427240.344   102543.926
  375   422322   108081   422693.423   107593.697
  376   417774   113132   418145.394   112644.625
  377   413227   118182   413598.367   117694.310
  378   408679   123233   409050.518   122745.127
  379   404132   128283   404503.382   127794.888
  380   399584   133334   399955.468   132845.785
  381   395037   138384   395408.377   137895.642
  382   388389   136971   388760.415   136482.506
  383   392936   131921   393307.583   131432.675
  384   397484   126870   397855.576   126381.822
  385   402031   121820   402402.522   121332.062
  386   406579   116769   406950.623   116281.154
  387   411127   111719   411498.482   111231.549
  388   415674   106668   416045.675   106180.602
  389   420222   101618   420593.649   101130.769
  390   424769    96567   425140.501    96079.988
  391   429317    91516   429688.514    91029.186
  392   433864    86466   434235.504    85979.242
  393   438412    81415   438783.602    80928.398
  394   442959    76365   443330.605    75878.685
  395   447507    71314   447878.634    70827.826
  396   452054    66264   452425.698    65777.922
  397   456602    61213   456973.748    60727.082
  398   461149    56163   461520.760    55677.168
  399   465697    51112   466068.837    50626.170
  400   459049    49699   459420.786    49213.145
  401   454502    54750   454873.777    54264.079
  402   449954    59800   450325.796    59313.945
  403   445407    64851   445778.680    64364.891
  404   440859    69901   441230.688    69414.729
  405   436312    74952   436683.758    74465.529
  406   431764    80002   432135.775    79515.381
  407   427217    85053   427588.750    84566.294
  408   422669    90103   423040.729    89616.167
  409   418121    95154   418492.742    94666.985
  410   413574   100205   413945.815    99717.720
  411   409026   105255   409397.686   104767.595
  412   404479   110306   404850.540   109818.474
  413   399931   115356   400302.612   114868.187
  414   395384   120407   395755.591   119918.926
  415   390836   125457   391207.611   124968.670
  416   386289   130508   386660.518   130019.581
  417   384189   124044   384560.662   123555.702
  418   388736   118994   389107.764   118505.862
  419   393284   113943   393655.774   113454.982
  420   397831   108893   398202.704   108405.364
  421   402379   103842   402750.747   103354.541
  422   406926    98792   407297.858    98304.714
  423   411474    93741   411845.950    93253.938
  424   416021    88690   416392.918    88203.118
  425   420569    83640   420940.929    83153.253
  426   425116    78589   425487.987    78102.489
  427   429664    73539   430036.023    73052.565
  428   434211    68488   434582.882    68001.665
  429   438759    63438   439130.876    62951.820
  430   443307    58387   443678.859    57900.854
  431   447854    53337   448225.888    52850.950
  432   452402    48286   452773.905    47800.078
  433   445754    46873   446126.040    46387.040
  434   441206    51924   441577.956    51437.829
  435   436659    56974   437030.985    56487.804
  436   432111    62025   432483.105    61538.643
  437   427564    67075   427936.168    66588.581
  438   423016    72126   423388.146    71639.560
  439   418469    77176   418841.100    76689.395
  440   413921    82227   414293.043    81740.145
  441   409374    87277   409746.085    86789.956
  442   404826    92328   405198.065    91840.858
  443   400279    97378   400650.903    96890.639
  444   395731   102429   396102.838   101941.483
  445   391184   107480   391555.916   106992.288
  446   389083   101016   389455.049   100528.485
  447   393631    95965   394002.991    95477.553
  448   398178    90915   398550.087    90427.708
  449   402726    85864   403098.142    85376.803
  450   407274    80814   407646.198    80326.986
  451   411821    75763   412193.176    75276.191
  452   416369    70713   416741.196    70226.398
  453   420916    65662   421288.234    65175.526
  454   425464    60612   425836.264    60125.651
  455   430011    55561   430383.179    55074.737
  456   434559    50511   434931.114    50024.797
  457   439106    45460   439478.150    44973.840
  458   432459    44047   432831.297    43560.799
  459   427911    49098   428283.316    48611.726
  460   423364    54148   423736.336    53661.603
  461   418816    59199   419188.308    58712.527
  462   414268    64249   414640.311    63762.394
  463   409721    69300   410093.317    68813.245
  464   405173    74350   405545.389    73863.074
  465   400626    79401   400998.388    78913.857
  466   396078    84451   396450.403    83963.845
  467   412168    57786   412540.396    57299.450
  468   416716    52735   417088.401    52248.555
  469   421263    47685   421635.433    47198.657
  470   425811    42634   426183.441    42147.731
  471   419163    41221   419535.518    40734.667
  472   414616    46272   414988.525    45785.557
  473   410068    51322   410440.485    50835.434
  474   407968    44859   408340.592    44372.438
